,,,,,,,,,"Normalized abundance",,,,,,,,,,,,"Raw abundance",,,,,,,,,,,
,,,,,,,,,"25 fmol",,,,"50 fmol",,,,"100 fmol",,,,"25 fmol",,,,"50 fmol",,,,"100 fmol",,,
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","20141222_WOS521","20141222_WOS526","20141222_WOS5211","20141222_WOS5216","20141222_WOS522","20141222_WOS527","20141222_WOS5212","20141222_WOS5217","20141222_WOS523","20141222_WOS528","20141222_WOS5213","20141222_WOS5218","20141222_WOS521","20141222_WOS526","20141222_WOS5211","20141222_WOS5216","20141222_WOS522","20141222_WOS527","20141222_WOS5212","20141222_WOS5217","20141222_WOS523","20141222_WOS528","20141222_WOS5213","20141222_WOS5218"
"Cre06.g263450.t1.2|PACid:30779125|;Cre06.g263450.t2.1|PACid:30779126|","59","58","4208.39","0.339730629960988","1.03609818294957","25 fmol","50 fmol","GTP binding Elongation factor Tu family protein","61176.2172751841","57254.2404797335","57339.2671608897","57219.8236952405","54645.6720722259","55403.6858885231","57516.4039174765","57306.3134185115","55166.1627371864","56644.9837523857","56033.6784929157","60098.7578366362","55405.6600084964","54586.5307918157","57339.2671608897","57882.8384221164","59138.9907465728","55368.465552503","56977.9992617097","57526.4201824139","52403.1357708882","56392.1705430611","53695.429172733","58255.0807828389"
"Cre12.g516200.t1.2|PACid:30792542|","52","49","3151.33","0.0770219370994554","1.03983215511811","25 fmol","100 fmol","Ribosomal protein S5/Elongation factor G/III/V family protein","13727.512228848","12720.9093415145","13132.2431949245","13136.4517891375","12835.0056454398","12575.2005629453","13143.6626240782","12814.2140999319","12658.3935320833","12567.6511090174","12737.9813226215","12733.6912543383","12432.6398262378","12128.1900458757","13132.2431949245","13288.6658372178","13890.3823727271","12567.2064596245","13020.6262610819","12863.4319788921","12024.3910757989","12511.5602074041","12206.4335647515","12343.0539895952"
"Cre12.g512300.t1.2|PACid:30791835|","52","51","2780.32","0.0699092433188279","1.04922281294034","25 fmol","50 fmol","lipoxygenase 1","5829.77944238811","5617.18214633784","5528.42546510595","5622.624423025","5244.36770891464","5448.25847636006","5425.71705939098","5419.51429917506","5273.01502090385","5204.47967731628","5567.62425313791","5618.35632629367","5279.87495952128","5355.45461131117","5528.42546510595","5687.77462020165","5675.59335713181","5444.79499751051","5374.92752585476","5440.33001184537","5008.91322419447","5181.25147381218","5335.29087836977","5445.99944219631"
"Cre04.g222700.t1.2|PACid:30791597|","50","48","2691.29","0.0597294049638508","1.05057596963666","100 fmol","25 fmol","general control non-repressible 4","4531.2864598946","4279.36475584066","4286.43583569858","4162.13305636186","4330.9240140667","4428.23644911965","4317.52211616871","4301.8659757984","4609.80384667802","4350.20427929965","4596.45657151282","4575.65720242946","4103.86467454673","4079.97161532155","4286.43583569858","4210.36031980613","4687.04044582844","4425.42140219247","4277.10627215912","4318.38893360516","4378.91933875246","4330.78880713931","4404.64939870785","4435.28767577314"
"Cre03.g180750.t1.2|PACid:30787285|","50","47","3024.75","0.0276711980003636","1.05217664127673","25 fmol","100 fmol","methionine synthase 3","21020.4463310944","20439.5230576372","20828.6752344649","20217.389969605","19799.0982310599","19312.8161078961","20528.4960113162","19995.8045562068","19341.0104458422","19181.6588943508","19670.8380033715","20221.1155972062","19037.6547377652","19487.1619186124","20828.6752344649","20451.6519163078","21427.1074483181","19300.5388764825","20336.3310448791","20072.6060737002","18372.3055230092","19096.0488998904","18849.9866006813","19600.7831948279"
"gi|41179057|ref|NP_958414.1|","50","47","3562.93","0.114355938701559","1.0425411136482","25 fmol","100 fmol","ATP synthase CF1 beta subunit (chloroplast) [Chlamydomonas reinhardtii]","68112.1643547915","61717.6985393506","64671.8393411202","63604.7338054335","62882.655216804","61194.6740673691","63355.0563117367","62705.2642130208","61918.5984332265","61420.4196816985","61940.3866056099","62294.9428632215","61687.3613435271","58842.0180494889","64671.8393411202","64341.7314487089","68053.2716309408","61155.7723779105","62761.9966807218","62946.1077076071","58817.3720890735","61146.293141462","59355.6541595555","60383.8924379078"
"Cre02.g080200.t1.2|PACid:30786367|","48","45","3322.26","0.79591908699465","1.0222049178436","50 fmol","100 fmol","Transketolase","15508.4663166194","16112.5790825938","17148.2133857459","17439.4595705983","16432.2724143985","15903.0795584224","17527.5469122224","16839.6163760927","15969.3180500712","15630.8243340189","16476.0317441259","17177.3910785029","14045.6022007165","15361.8279948872","17148.2133857459","17641.5332188089","17783.4395553934","15892.969909636","17363.4734963105","16904.2953485268","15169.4861564529","15561.0621308634","15788.4975493134","16650.4324038889"
"gi|41179049|ref|NP_958405.1|","48","47","2910.63","0.0487579952434785","1.03926167642474","25 fmol","100 fmol","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Chlamydomonas reinhardtii]","122937.686692796","116088.67447986","118135.467394274","115910.281017563","113212.476986505","113347.067159111","114423.770744025","116229.834676493","112143.485991742","111916.552392185","115846.77240695","115293.376338077","111341.367193279","110679.627412384","118135.467394274","117253.350924949","122521.535100754","113275.011992957","113352.662560916","116676.259708107","106526.719109368","111417.055686343","111012.561194846","111756.468753612"
