Accession,X20141222_WOS521,X20141222_WOS526,X20141222_WOS5211,X20141222_WOS5216,X20141222_WOS522,X20141222_WOS527,X20141222_WOS5212,X20141222_WOS5217,X20141222_WOS523,X20141222_WOS528,X20141222_WOS5213,X20141222_WOS5218
Cre06.g263450.t1.2|PACid:30779125|,61176.2172751841,57254.2404797335,57339.2671608897,57219.8236952405,54645.6720722259,55403.6858885231,57516.4039174765,57306.3134185115,55166.1627371864,56644.9837523857,56033.6784929157,60098.7578366362
Cre12.g516200.t1.2|PACid:30792542|,13727.512228848,12720.9093415145,13132.2431949245,13136.4517891375,12835.0056454398,12575.2005629453,13143.6626240782,12814.2140999319,12658.3935320833,12567.6511090174,12737.9813226215,12733.6912543383
Cre12.g512300.t1.2|PACid:30791835|,5829.77944238811,5617.18214633784,5528.42546510595,5622.624423025,5244.36770891464,5448.25847636006,5425.71705939098,5419.51429917506,5273.01502090385,5204.47967731628,5567.62425313791,5618.35632629367
Cre04.g222700.t1.2|PACid:30791597|,4531.2864598946,4279.36475584066,4286.43583569858,4162.13305636186,4330.9240140667,4428.23644911965,4317.5221161687105,4301.8659757984,4609.80384667802,4350.20427929965,4596.45657151282,4575.65720242946
Cre03.g180750.t1.2|PACid:30787285|,21020.4463310944,20439.5230576372,20828.6752344649,20217.389969605,19799.0982310599,19312.8161078961,20528.4960113162,19995.8045562068,19341.0104458422,19181.6588943508,19670.8380033715,20221.1155972062
gi|41179057|ref|NP_958414.1|,68112.1643547915,61717.6985393506,64671.8393411202,63604.7338054335,62882.655216804,61194.6740673691,63355.0563117367,62705.2642130208,61918.5984332265,61420.4196816985,61940.3866056099,62294.9428632215
Cre02.g080200.t1.2|PACid:30786367|,15508.4663166194,16112.5790825938,17148.2133857459,17439.4595705983,16432.2724143985,15903.0795584224,17527.5469122224,16839.6163760927,15969.3180500712,15630.8243340189,16476.0317441259,17177.3910785029
gi|41179049|ref|NP_958405.1|,122937.68669279601,116088.67447986,118135.467394274,115910.281017563,113212.476986505,113347.067159111,114423.770744025,116229.834676493,112143.485991742,111916.552392185,115846.77240695,115293.376338077
Cre01.g010900.t1.2|PACid:30788366|,44773.3012219549,42271.9006443115,42842.8733839428,44368.6537723343,44117.9510550138,42926.7722421281,43029.2603203392,43751.7857819696,41716.3780753013,41301.1853718591,42655.090778636,42421.3382379454
Cre01.g042750.t1.2|PACid:30789585|,7692.83877717023,7353.176021214,7225.18058259476,7287.89722971125,7138.73939507671,7046.54497125369,7174.45382166858,6946.23489482546,7079.13695861098,7045.4078530958795,7062.70764114979,7063.17564979478
P02787ups|TRFE_HUMAN_UPS,4807.80174413407,4573.72081590609,4352.50694822225,4312.62402009487,7488.28668910746,7539.37633522966,7653.02003889918,7360.71138147983,13088.4252731208,12750.8998987,13265.3252613072,12783.4646179707
Cre03.g204250.t1.2|PACid:30788072|,12704.351903508,12974.1705808664,13224.7544062321,13809.3371423254,13495.3329793315,12984.9786962541,13809.6940937616,13613.4947659257,12860.5866059764,13056.0258659492,13335.6996411784,13793.8770047627
Cre06.g250100.t1.2|PACid:30778980|,8903.73776025051,8318.35481498549,8501.83583261557,8384.4396027581,8335.80673852564,8432.55479924561,8461.28601334325,8047.7898883526,8117.89121652114,8137.57797000755,8566.08181420559,8543.05024082533
Cre08.g372100.t1.2|PACid:30774022|,8286.27841817105,7503.63005142015,7559.66123897321,7655.82943638338,7668.84804865197,6966.28623000522,7944.02884398138,7078.08699045873,7501.49644098352,7803.02167307598,7700.80417301438,7412.8953520252
Cre11.g467770.t1.1|PACid:30775977|,27881.4407228904,26744.9106052157,27357.3757544868,27014.1879136575,25504.9410569018,25893.4857346465,26639.8680822891,26666.913558254,26081.7992179929,25414.6904338752,26384.5834229902,26504.1222037679
