,,,,,,,,,"Normalized abundance",,"Raw abundance",
,,,,,,,,,"Condition 1","Condition 2","Condition 1","Condition 2"
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","20180316_MMF_QP1_1_Phospho","20180316_MMF_QP1_2_Phospho","20180316_MMF_QP1_1_Phospho","20180316_MMF_QP1_2_Phospho"
"Cre06.g263450.t1.2|PACid:30779125|;Cre06.g263450.t2.1|PACid:30779126|","33","31","1688.57",,"2.0290281487841","Condition 2","Condition 1","GTP binding Elongation factor Tu family protein","5102.13612736753","10352.377821357","5102.13612736753","11742.3649012898"
"Cre10.g436550.t1.2|PACid:30790090|","31","28","1032.83",,"1.14361942853029","Condition 1","Condition 2","Regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].","233207.792312488","203920.803105097","233207.792312488","231300.723596488"
"gi|41179057|ref|NP_958414.1|","31","30","2264.34",,"1.2476750321981","Condition 1","Condition 2","ATP synthase CF1 beta subunit (chloroplast) [Chlamydomonas reinhardtii]","269796.050989137","216239.039835414","269796.050989137","245272.898214136"
"Cre02.g081250.t1.2|PACid:30785406|","30","30","1326.53",,"1.29318564129336","Condition 1","Condition 2","plastid transcriptionally active 16","46388.190902526","35871.2542277623","46388.190902526","40687.5950509027"
"Cre17.g720250.t1.2|PACid:30782643|","29","28","1338.71",,"1.17815895649661","Condition 1","Condition 2","light harvesting complex photosystem II","541784.382770158","459856.778902921","541784.382770158","521600.563019446"
"Cre04.g229300.t1.1|PACid:30791545|","27","27","1981.41",,"1.19795636180167","Condition 1","Condition 2","rubisco activase","192468.281379466","160663.850133909","192468.281379466","182235.771073433"
"Cre12.g516200.t1.2|PACid:30792542|","26","24","1184.13",,"1.47987227753515","Condition 2","Condition 1","Ribosomal protein S5/Elongation factor G/III/V family protein","13783.5423721272","20397.8822427422","13783.5423721272","23136.6533023639"
"Cre09.g396213.t1.1|PACid:30780284|","25","25","1347.07",,"1.4736551982692","Condition 2","Condition 1","PS II oxygen-evolving complex 1","29805.8320905053","43923.5193989122","29805.8320905053","49821.0171065125"
"Cre05.g234550.t1.2|PACid:30783068|","25","24","1513.33",,"1.33602809542736","Condition 2","Condition 1","fructose-bisphosphate aldolase 2","27542.674469383","36797.7869143057","27542.674469383","41738.5308925137"
"Cre03.g185550.t1.2|PACid:30788192|","24","23","1049.89",,"1.0164140672256","Condition 2","Condition 1","sedoheptulose-bisphosphatase","112456.07867911","114301.940314476","112456.07867911","129648.967151209"
"Cre06.g263250.t1.1|PACid:30779447|","24","24","1677.14",,"1.01690482833526","Condition 1","Condition 2","None","12103.0185596634","11901.8203301059","12103.0185596634","13499.8470609695"
"Cre12.g528000.t1.2|PACid:30793504|","23","21","1475.24",,"1.0257442649031","Condition 2","Condition 1","None","68566.0812682444","70331.2646277816","68566.0812682444","79774.462203731"
"Cre12.g550850.t1.2|PACid:30791734|","23","23","1534.69",,"1.29218935335922","Condition 2","Condition 1","photosystem II subunit P-1","78927.2194110163","101988.912613163","78927.2194110163","115682.700965461"
"Cre01.g010900.t1.2|PACid:30788366|","21","19","1103.77",,"1.41366851123285","Condition 2","Condition 1","glyceraldehyde-3-phosphate dehydrogenase B subunit","3672.55150905068","5191.77042422564","3672.55150905068","5888.85605384429"
"gi|41179050|ref|NP_958406.1|","21","19","1083.46",,"1.41874308992759","Condition 2","Condition 1","ATP synthase CF1 alpha subunit (chloroplast) [Chlamydomonas reinhardtii]","8138.80578991961","11546.8744747111","8138.80578991961","13097.2435406799"
"gi|41179049|ref|NP_958405.1|","20","19","1112.41",,"1.38374037587762","Condition 2","Condition 1","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Chlamydomonas reinhardtii]","38382.0518231834","53110.7948167661","38382.0518231834","60241.8443084074"
"Cre02.g080200.t1.2|PACid:30786367|","20","18","918.34",,"1.04748594315833","Condition 2","Condition 1","Transketolase","16333.7217569428","17109.3439398569","16333.7217569428","19406.5714399454"
"Cre14.g614850.t1.1|PACid:30776426|","20","18","1039.91",,"1.14227814400987","Condition 1","Condition 2","Ankyrin repeat family protein","7348.48305346195","6433.18187605844","7348.48305346195","7296.94862075081"
"gi|41179065|ref|NP_958422.1|","20","20","950.72",,"1.31199787828032","Condition 2","Condition 1","photosystem II 44 kDa protein (chloroplast) [Chlamydomonas reinhardtii]","19979.7618222033","26213.4051192769","19979.7618222033","29733.0114421519"
"gi|41179032|ref|NP_958388.1|","19","18","1121.03",,"1.2186315407977","Condition 2","Condition 1","photosystem II 47 kDa protein (chloroplast) [Chlamydomonas reinhardtii]","15862.0680401895","19330.0164160542","15862.0680401895","21925.407884261"
"Cre01.g042750.t1.2|PACid:30789585|","18","17","1201.77",,"1.11363417619568","Condition 1","Condition 2","aconitase 2","60684.233630232","54492.0719275494","60684.233630232","61808.5819356948"
"Cre06.g300550.t1.2|PACid:30778929|","18","18","868.31",,"1.26655332367781","Condition 1","Condition 2","Histone H3 K4-specific methyltransferase SET7/9 family protein","52267.354825951","41267.3938387193","52267.354825951","46808.2604152831"
"Cre02.g113200.t1.1|PACid:30784960|","18","17","655.55",,"1.5440289293357","Condition 1","Condition 2","glutamine synthetase 1.3","20392.9552906112","13207.6251313407","20392.9552906112","14980.9789062856"
"Cre11.g467770.t1.1|PACid:30775977|","17","16","988.97",,"1.44844594328935","Condition 2","Condition 1","Phosphoglycerate kinase family protein","6036.87254077904","8744.08354184627","6036.87254077904","9918.12909531758"
"Cre04.g222700.t1.2|PACid:30791597|","17","16","976.33",,"1.8685580519433","Condition 2","Condition 1","general control non-repressible 4","13669.7334952865","25542.6905905367","13669.7334952865","28972.2418028506"
"Cre01.g044800.t1.2|PACid:30789628|","17","16","948.31",,"1.0343550209022","Condition 2","Condition 1","Pyruvate-formate lyase; may contain organelle targeting peptide; corresponds to GI:585666 (a C-terminal fragment), induced under phosphate deprivation; also known as formate acetyltransferase. Genbank AJ620191, GI:92084841; PMID: 16452484. Character","8121.72614837248","8400.74821996179","8121.72614837248","9528.69502493887"
"Cre07.g337300.t1.1|PACid:30774430|","17","17","693.57",,"1.28954201883446","Condition 1","Condition 2","Protein kinase superfamily protein","7158.91381706494","5551.51651710849","7158.91381706494","6296.90432713364"
"Cre06.g275100.t1.2|PACid:30778429|","17","17","1059.18",,"1.08721549258617","Condition 2","Condition 1","nucleolin like 2","23597.2883605035","25655.3374885627","23597.2883605035","29100.0135094523"
"gi|41179007|ref|NP_958362.1|;Cre06.g259150.t1.2|PACid:30779657|","16","16","838.36",,"1.02935390847783","Condition 2","Condition 1","elongation factor Tu (chloroplast) [Chlamydomonas reinhardtii]","18773.3223443173","19324.3927302371","18773.3223443173","21919.0291206481"
"Cre16.g680150.t1.1|PACid:30777326|","16","13","609.68",,"1.24903007738625","Condition 1","Condition 2","None","2697.26147007286","2159.48480257354","2697.26147007286","2449.4332595064"
